	(1)	(2)	(3)	(4)	(5)	(6)	(7)
		[0.088]	[0.091]	[0.104]	[0.410]	[0.089]	[0.110]
Psychological Secrecy x Party: Weak Democrat		0.112	0.090	0.028	0.231	0.116	-0.044
		[0.085]	[0.088]	[0.092]	[0.309]	[0.085]	[0.142]
Psychological Secrecy x Party: Strong Democrat		0.006	-0.027	-0.048	-0.147	0.007	-0.038
		[0.072]	[0.077]	[0.088]	[0.490]	[0.073]	[0.101]
Social Secrecy x Party: Strong Republican		-0.063	-0.079	-0.095	-0.725	-0.054	0.096
		[0.072]	[0.070]	[0.091]	[1.009]	[0.072]	[0.160]
Social Secrecy x Party: Weak Republican		0.139	0.122	0.050	0.562	0.140	-0.008
		[0.057]**	[0.062]*	[0.067]	[0.269]**	[0.058]**	[0.160]
Social Secrecy x Party: Lean Republican		0.057	0.040	0.010	0.088	0.069	0.134
		[0.129]	[0.137]	[0.156]	[0.477]	[0.130]	[0.203]
Social Secrecy x Party: Lean Democrat		0.178	0.181	0.257	1.050	0.177	0.218
		[0.078]**	[0.082]**	[0.099]***	[0.571]*	[0.079]**	[0.166]
Social Secrecy x Party: Weak Democrat		-0.102	-0.112	-0.138	-0.323	-0.105	0.029
		[0.074]	[0.069]	[0.076]*	[0.379]	[0.075]	[0.178]
Social Secrecy x Party: Strong Democrat		-0.048	-0.008	0.022	-0.459	-0.050	0.162
		[0.093]	[0.092]	[0.086]	[0.533]	[0.093]	[0.162]
Party: Strong Republican		-0.614	-0.732	-0.925	-2.521	-0.618	-0.614
		[0.098]***	[0.292]**	[0.276]***	[0.585]***	[0.100]***	[0.136]***
Constant	-0.200	-0.158	-0.084	-0.473		-0.540	0.053
	[0.241]	[0.244]	[0.283]	[0.318]		[0.222]**	[0.230]
Observations	804	804	804	804	804	786	702
R-squared	0.720	0.738	0.751	0.777		0.744	0.807
Social Secrecy x PID (Prob>F)		0.007	0.008	0.0021153	0.060	0.008	0.264
Psychological Secrecy x PID (Prob>F)		0.139	0.192	0.1306086	0.252	0.121	0.090
Union and PID interactions (Prob>F)			0.023	0.0266554			
Secrecy interactions (Prob>F)				0.0000184			
Robust standard errors in brackets							
* significant at 10%; ** significant at 5%; *** significant at 1%							
